epoch,train_loss,val_auroc,val_auprc,val_f1,val_mcc,val_mrr,val_hit@1,val_hit@3,val_hit@5,val_brier,selected_threshold
1,1.1448590022743128,0.6055318493145444,0.24669058140591277,0.31530754429035895,0.11436250177800225,0.5026352635263526,0.2745274527452745,0.6351635163516351,0.8853885388538854,0.2387145459651947,0.4900000000000001
2,1.0798534955948023,0.6623941512062997,0.30394823242184044,0.2316619224874097,0.18030029436817988,0.5528552855285528,0.33813381338133813,0.6927692769276927,0.9234923492349235,0.21647366881370544,0.6500000000000001
3,1.0152755148091894,0.6833146410950726,0.31862112613785526,0.21110579224509335,0.20020824184909294,0.5650365036503651,0.34503450345034503,0.7146714671467147,0.9255925592559255,0.2037046253681183,0.7200000000000001
4,0.9520311325219026,0.7036789727577618,0.3395382423924984,0.3739286050673448,0.21497826529890193,0.5833383338333833,0.372037203720372,0.7260726072607261,0.9306930693069307,0.2050457000732422,0.55
5,0.8926878180473473,0.719666341071551,0.3439632511441611,0.3798559118519565,0.2382638054684488,0.6029102910291029,0.3951395139513951,0.750975097509751,0.9345934593459346,0.20351506769657135,0.39000000000000007
6,0.8374612950215674,0.724509003555621,0.3500676157405259,0.38656799554388477,0.23953803092775566,0.6129612961296129,0.41074107410741073,0.7608760876087609,0.9408940894089409,0.18765424191951752,0.4200000000000001
7,0.7898199687338179,0.729849357573021,0.362644411330862,0.3959356477561389,0.25120023726805135,0.6102110211021102,0.40564056405640564,0.756975697569757,0.9348934893489349,0.19812387228012085,0.4900000000000001
8,0.7423228731580601,0.7363514119188697,0.35737569914004436,0.4060449393517598,0.2616217045357612,0.6255125512551254,0.4302430243024302,0.7701770177017702,0.9387938793879388,0.18660403788089752,0.5300000000000001
9,0.6987677486079513,0.7385316569460727,0.3606288716328651,0.40512141280353203,0.26352050441977554,0.6189668966896689,0.4158415841584158,0.7695769576957696,0.9351935193519352,0.18911832571029663,0.4900000000000001
10,0.6732213584480772,0.7385963078756121,0.35053082165521926,0.3998782251312885,0.2664366932369963,0.6228472847284728,0.4245424542454245,0.7692769276927692,0.9336933693369337,0.18364445865154266,0.20000000000000004
11,0.6420318867750229,0.7436691283889865,0.3638056394653566,0.4204953677443751,0.28375809277183556,0.6328032803280328,0.4389438943894389,0.7755775577557755,0.9411941194119412,0.1891741007566452,0.5000000000000001
12,0.6219562453449152,0.7452507086892307,0.36797202708555987,0.4127738189495909,0.2756078624944522,0.6317381738173816,0.43474347434743477,0.7743774377437744,0.9360936093609361,0.18320760130882263,0.36000000000000004
13,0.6007008867658628,0.7421887283237775,0.3563927166426548,0.41715681838747626,0.2807674598501537,0.6287678767876788,0.43294329432943296,0.7713771377137714,0.9372937293729373,0.1905449628829956,0.45000000000000007
14,0.5822432223398974,0.7460322719940761,0.377959824631102,0.4140391636242947,0.2819005087011212,0.6339283928392839,0.44044404440444046,0.7758775877587759,0.9396939693969397,0.1871071606874466,0.22000000000000003
15,0.5609310330099361,0.7485087212591646,0.3734686014088133,0.4257697388476781,0.2893351404050963,0.6403090309030903,0.4527452745274527,0.7764776477647765,0.9357935793579358,0.18023990094661713,0.4900000000000001
16,0.5491959135623494,0.747588305185154,0.3700388091561403,0.4220081921842134,0.2841509198594538,0.638023802380238,0.45094509450945097,0.7743774377437744,0.9381938193819382,0.18112722039222717,0.5100000000000001
17,0.53530123184441,0.753821655792942,0.36295299878259984,0.42428960685091477,0.2882764069450664,0.643029302930293,0.45184518451845185,0.789078907890789,0.9393939393939394,0.17974814772605896,0.4200000000000001
18,0.5340350053872273,0.7499723509704705,0.38055734550964754,0.42534116943918715,0.28913627520649593,0.6415841584158415,0.45544554455445546,0.7761776177617762,0.9336933693369337,0.17467230558395386,0.38000000000000006
19,0.515162414995728,0.7509278020511323,0.38397388714601494,0.4257458201289477,0.289020152066876,0.6407140714071408,0.45124512451245125,0.7806780678067807,0.9357935793579358,0.18605776131153107,0.5400000000000001
20,0.5062193299175068,0.7478577290672361,0.36782913892720115,0.42569222075720475,0.291601616005271,0.6438593859385939,0.45724572457245727,0.7824782478247825,0.9333933393339334,0.1827433854341507,0.22000000000000003
21,0.4982406899427912,0.7564608486051125,0.39198039384841077,0.43859649122807015,0.30702270386704367,0.6484448444844484,0.46204620462046203,0.7827782778277828,0.9381938193819382,0.17097827792167664,0.37000000000000005
22,0.49376095916814866,0.7579708915986108,0.38239399135386676,0.434799841458581,0.3028065865813602,0.6517001700170018,0.46804680468046805,0.7881788178817882,0.9366936693669367,0.17963950335979462,0.4200000000000001
23,0.4939192510714197,0.7490526010296799,0.3554868548601153,0.42882387590810916,0.2945396969255591,0.6475047504750475,0.46264626462646263,0.7833783378337834,0.9327932793279328,0.18443726003170013,0.27
24,0.48928933899114085,0.7521815367855417,0.3724447447976856,0.4233589539711989,0.2917719522728771,0.6427292729272928,0.45394539453945393,0.7803780378037803,0.9357935793579358,0.1841060370206833,0.1
25,0.4717943387426389,0.753907460953116,0.37708178425472544,0.4305156929913897,0.29967211597091187,0.6488348834883488,0.46264626462646263,0.7860786078607861,0.9387938793879388,0.18502415716648102,0.12000000000000002
26,0.4660402604728747,0.7546711916916263,0.37374778063626046,0.4386201180980006,0.30697425839756054,0.6463996399639963,0.45754575457545754,0.7872787278727873,0.9360936093609361,0.17873957753181458,0.38000000000000006
27,0.47255910164231707,0.7549237281964021,0.3822833347778804,0.43770201230320094,0.3055758444862318,0.6499249924992498,0.46534653465346537,0.783078307830783,0.9393939393939394,0.17277006804943085,0.4100000000000001
28,0.47427447149708013,0.7543287091985527,0.3632596972218495,0.42858465241136723,0.2967897190192843,0.6488798879887989,0.459045904590459,0.7884788478847885,0.9360936093609361,0.18114055693149567,0.1
29,0.47610769150363413,0.7521102425274031,0.3655528797133094,0.4204759458996747,0.2896345459879862,0.6420592059205922,0.45064506450645064,0.780978097809781,0.936993699369937,0.18737675249576569,0.05
30,0.46448820943285707,0.7564270018360972,0.36700375656453943,0.43389897395422256,0.30166774897087156,0.648939893989399,0.46144614461446143,0.78997899789979,0.9354935493549354,0.17910440266132355,0.24000000000000005
