threshold,f1,mcc
0.05,0.4658096904236708,0.348013005876822
0.060000000000000005,0.4668406509057415,0.3488879463080726
0.07,0.46763866388953174,0.3497083819248212
0.08000000000000002,0.46815434681543466,0.3501675690813708
0.09000000000000001,0.46816129534485446,0.3498930003704089
0.1,0.46836136096988656,0.3498962795145408
0.11000000000000001,0.4686494546025269,0.3501155080215359
0.12000000000000002,0.4695693252499803,0.35122937323041326
0.13,0.4700031575623619,0.3516966509637815
0.14,0.47070003167564145,0.35250467923508905
0.15000000000000002,0.47097184666772707,0.3526571793739104
0.16000000000000003,0.47146045918367346,0.3532172992200563
0.17000000000000004,0.4716981132075472,0.35340212568903473
0.18000000000000002,0.47220216606498194,0.35393312644405317
0.19000000000000003,0.47230508747883576,0.35383378134413707
0.20000000000000004,0.47309743092583617,0.35484016478415126
0.21000000000000002,0.47327502429543244,0.3549731226557483
0.22000000000000003,0.4735859774405583,0.3553111660007173
0.23000000000000004,0.4737441066493253,0.3554528392701968
0.24000000000000005,0.4737313675979474,0.3553443756428388
0.25000000000000006,0.4727807748896518,0.35387948691934323
0.26000000000000006,0.4728910728910729,0.3539502699383873
0.27,0.47289428360534735,0.353897895035416
0.28,0.4732949876746097,0.35437394142615664
0.29000000000000004,0.4736495388669302,0.3547770646655742
0.30000000000000004,0.47399225125710986,0.3552062200206695
0.31000000000000005,0.4745762711864407,0.355893328526382
0.32000000000000006,0.47477843121013835,0.35610160756357806
0.33000000000000007,0.47482372459560346,0.3561081299305601
0.3400000000000001,0.47451991021697565,0.35561396964667
0.3500000000000001,0.47402218330414475,0.35482366054454834
0.36000000000000004,0.4745734359317498,0.35547776283361143
0.37000000000000005,0.4745876245499456,0.355461390797145
0.38000000000000006,0.4745535339984908,0.35537169646544414
0.39000000000000007,0.474122696288816,0.35467125515214526
0.4000000000000001,0.4740440617877944,0.35447554228749867
0.4100000000000001,0.47384928371619905,0.3540948105200643
0.4200000000000001,0.47370656698666214,0.35384422082358474
0.43000000000000005,0.4735309234195648,0.35341127990002114
0.44000000000000006,0.47374784110535406,0.35353968531664065
0.45000000000000007,0.4735202492211838,0.353197683153877
0.4600000000000001,0.47372072853425845,0.35342761550010604
0.4700000000000001,0.47353324641460237,0.35314231144705993
0.4800000000000001,0.4735511982570806,0.3531272817930648
0.4900000000000001,0.4725967431272982,0.3517954593577263
0.5000000000000001,0.4721904929268078,0.35121654990109863
0.5100000000000001,0.4720035382574082,0.3509124346907603
0.5200000000000001,0.47385003150598615,0.3532811924719341
0.5300000000000001,0.47336729967577584,0.352819747105021
0.5400000000000001,0.4724394610383492,0.35189843634132306
0.55,0.47197582610390876,0.3522499792462733
0.56,0.47347021752388696,0.35599820287113376
0.5700000000000001,0.47286495582667226,0.3573703849012476
0.5800000000000001,0.4692546251737782,0.35418646549344796
0.5900000000000001,0.4698888032588352,0.35750592927557134
0.6000000000000001,0.4684031710079275,0.3586087573609263
0.6100000000000001,0.4671885793230486,0.35904444304733063
0.6200000000000001,0.4652582159624413,0.3591634306877018
0.6300000000000001,0.45914119186392294,0.35367047613481045
0.6400000000000001,0.45875542691751087,0.35522133330549704
0.6500000000000001,0.45487715884213087,0.35189938972257767
0.6600000000000001,0.4525297072154845,0.3502499916443001
0.6700000000000002,0.45241069198101425,0.35337419134807146
0.6800000000000002,0.4498992950654582,0.3517747747846683
0.6900000000000002,0.4476250791640279,0.3502089716350462
0.7000000000000002,0.44665391969407264,0.3502495279106654
0.7100000000000002,0.44329763901432073,0.34861884105719987
0.7200000000000001,0.44,0.34739539840547545
0.7300000000000001,0.43731088014734903,0.3455762783121324
0.7400000000000001,0.43441317047265005,0.34414014829635875
0.7500000000000001,0.43109255018186715,0.34354038917742213
0.7600000000000001,0.42946114270241,0.34279282798225486
0.7700000000000001,0.4244998629761578,0.33984656042301825
0.7800000000000001,0.4215308370044053,0.3375051040855372
0.7900000000000001,0.41890767951205987,0.33617060629188245
0.8000000000000002,0.4156895589056393,0.3341855892218191
0.8100000000000002,0.4101910828025478,0.3314574773772197
0.8200000000000002,0.40434969237373014,0.3275943423779581
0.8300000000000002,0.3982708933717579,0.32242378860817483
0.8400000000000002,0.39291983616149795,0.32063444004245517
0.8500000000000002,0.3877430760164997,0.31667299230235635
0.8600000000000002,0.3819857312722949,0.31265444229745937
0.8700000000000001,0.373629674125244,0.30606549181709725
0.8800000000000001,0.3655717761557178,0.300695015030595
0.8900000000000001,0.36017794140205556,0.29728627951834685
0.9000000000000001,0.351494396014944,0.29218824385479425
0.9100000000000001,0.346093504863508,0.28860618927740456
0.9200000000000002,0.34207201516108654,0.28628410678028954
0.9300000000000002,0.3324824505424378,0.2786121980770564
0.9400000000000002,0.32444659880433024,0.27396973634998395
0.9500000000000002,0.31875511875511875,0.2728178220478931
