stage,family,feature_level,loss_level,curriculum,combo,save_dir,val_auroc,val_auprc,val_f1,val_mcc,val_mrr,val_hit1,val_hit3,val_hit5,test_auroc,test_auprc,test_f1,test_mcc,test_mrr,test_hit1,test_hit3,test_hit5,best_f1_threshold,best_mcc_threshold,selected_threshold,val_brier,test_brier,test_score_range,epochs_completed,smoke_pass
smoke,mlp_s,F1,L1,C0,F1_L1_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_s_f1_l1_c0_smoke,0.6782851939541524,0.3042980240799572,0.3587822014051522,0.19243818047260822,0.5673168292073019,0.3555888972243061,0.7074268567141786,0.921980495123781,0.6849730061922832,0.3049672452443965,0.3519394512771996,0.18255800168157763,0.5703175793948487,0.3570892723180795,0.7201800450112528,0.9182295573893473,0.5100000000000001,0.5100000000000001,0.5100000000000001,0.217271402478218,0.20650026202201843,0.9857002597916562,8,True
smoke,mlp_s,F1,L2,C0,F1_L2_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_s_f1_l2_c0_smoke,0.590570204441583,0.2250148021699634,0.3073329007138222,0.10170163261368305,0.489609902475619,0.25206301575393847,0.6294073518379595,0.9017254313578394,0.6056868493192316,0.23656810435955214,0.31196247068021893,0.11603015244208749,0.49107276819204804,0.2528132033008252,0.6256564141035259,0.8994748687171793,0.4600000000000001,0.45000000000000007,0.45000000000000007,0.2369324266910553,0.2354007065296173,0.37086382508277893,8,True
smoke,mlp_s,F2,L2,C0,F2_L2_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_s_f2_l2_c0_smoke,0.5955790147837035,0.23198702702222482,0.31024416135881105,0.10869329013497014,0.49077269317329336,0.2550637659414854,0.6264066016504126,0.900225056264066,0.6086650882525583,0.24798965477836227,0.3143830233167409,0.12295014028435355,0.49642410602650666,0.2663165791447862,0.6249062265566392,0.9009752438109527,0.4800000000000001,0.4600000000000001,0.4600000000000001,0.2404407113790512,0.2392447143793106,0.35819506645202637,8,True
smoke,mlp_s,F2,L2,C1,F2_L2_C1,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_s_f2_l2_c1_smoke,0.6045599359329705,0.23882899638290767,0.30985350190648203,0.11023900524782743,0.5043510877719429,0.2760690172543136,0.6309077269317329,0.8994748687171793,0.6035222796696924,0.24523748375453472,0.30191056057106863,0.09987508345242639,0.5012128032008002,0.2745686421605401,0.6174043510877719,0.8747186796699175,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.2453666031360626,0.24482381343841553,0.37132179737091064,8,True
smoke,mlp_m,F1,L1,C0,F1_L1_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_m_f1_l1_c0_smoke,0.6912421091019192,0.3177938321501827,0.3716058960434445,0.21548415582699335,0.572093023255814,0.3600900225056264,0.7186796699174793,0.9309827456864216,0.683454959763947,0.2973146361025552,0.36081435194517236,0.1956540268821109,0.5564891222805701,0.3278319579894974,0.7284321080270068,0.9212303075768942,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.2247432321310043,0.2142581194639206,0.9651096462681544,8,True
smoke,mlp_m,F1,L2,C0,F1_L2_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_m_f1_l2_c0_smoke,0.5835488316940449,0.22372026055321614,0.1232876712328767,0.09885291095818935,0.49803700925231315,0.27231807951987996,0.614403600900225,0.8852213053263316,0.5932310909685411,0.24616366048537203,0.13174404015056462,0.11612742921357226,0.5064766191547887,0.28582145536384096,0.6286571642910728,0.8837209302325582,0.4700000000000001,0.5400000000000001,0.5400000000000001,0.2416803836822509,0.23823852837085724,0.26294296979904175,8,True
smoke,mlp_m,F2,L2,C0,F2_L2_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_m_f2_l2_c0_smoke,0.5930156019875187,0.22989967193928457,0.11265822784810127,0.09276188162624505,0.4958989747436859,0.2663165791447862,0.6204051012753188,0.8942235558889723,0.5949990685968567,0.2457955102105611,0.15357561547479484,0.10951931267503072,0.49033508377094276,0.2618154538634659,0.5986496624156039,0.8739684921230307,0.4700000000000001,0.5400000000000001,0.5400000000000001,0.2368090599775314,0.23606441915035248,0.31333208084106445,8,True
smoke,mlp_m,F2,L2,C1,F2_L2_C1,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_m_f2_l2_c1_smoke,0.5820523397916246,0.2171485105667311,0.3054215157536191,0.09196627524829208,0.4907226806701676,0.2565641410352588,0.6196549137284321,0.8942235558889723,0.6066845481062689,0.25065965330515455,0.30939072107322524,0.10291907491027566,0.5074143535883971,0.2798199549887472,0.6301575393848462,0.8904726181545386,0.4800000000000001,0.4800000000000001,0.4800000000000001,0.2471060007810592,0.24613167345523834,0.34322836995124817,8,True
smoke,mlp_l,F1,L1,C0,F1_L1_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_l_f1_l1_c0_smoke,0.6800310542751967,0.30893153427323966,0.33583771600300527,0.20324503503614286,0.5650912728182046,0.35108777194298574,0.7044261065266316,0.9279819954988747,0.6782604315745102,0.2915965582988812,0.30629978276611153,0.1618753791522407,0.5641535383845961,0.3435858964741185,0.722430607651913,0.9212303075768942,0.5400000000000001,0.6300000000000001,0.6300000000000001,0.2171882390975952,0.2157830446958542,0.9705686552462462,8,True
smoke,mlp_l,F1,L2,C0,F1_L2_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_l_f1_l2_c0_smoke,0.5470302872042092,0.19266018694761627,0.25680505911465495,0.06148856699209318,0.4595398849712429,0.2280570142535634,0.5551387846961741,0.8522130532633159,0.5341473778046912,0.19199628896187276,0.24040632054176073,0.04313332924352203,0.4500750187546887,0.21230307576894222,0.5581395348837209,0.8477119279819955,0.43000000000000005,0.4900000000000001,0.4900000000000001,0.2365044057369232,0.22936411201953888,0.14823216199874878,7,False
smoke,mlp_l,F2,L2,C0,F2_L2_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_l_f2_l2_c0_smoke,0.5464007599799425,0.21590085167532885,0.1197452229299363,0.10782754956669412,0.47180545136284074,0.245311327831958,0.5768942235558889,0.8589647411852963,0.5557366273301259,0.23115583215749394,0.1371571072319202,0.12021938379784469,0.4806326581645412,0.25806451612903225,0.5828957239309828,0.8649662415603901,0.45000000000000007,0.5700000000000001,0.5700000000000001,0.2520338892936706,0.25270703434944153,0.1742245852947235,8,False
smoke,mlp_l,F2,L2,C1,F2_L2_C1,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_l_f2_l2_c1_smoke,0.5432440068006499,0.1972982065267861,0.158472553699284,0.04456604459084984,0.4524881220305077,0.2213053263315829,0.5438859714928732,0.8499624906226556,0.5518134222227724,0.20743302453299362,0.1806883365200765,0.07154612044156487,0.47386846711677916,0.2558139534883721,0.5596399099774944,0.8627156789197299,0.4800000000000001,0.5200000000000001,0.5200000000000001,0.2473175525665283,0.24599610269069672,0.11015096306800842,8,False
full,mlp_l,F1,L1,C0,F1_L1_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_l_f1_l1_c0_full,0.758041735766736,0.39208849244537325,0.4252342985032872,0.30185490115420316,0.6541404140414041,0.474047404740474,0.7857785778577858,0.9324932493249325,0.7445724590460847,0.3775128818256007,0.41566768887649846,0.2898065709028717,0.6381638163816382,0.45544554455445546,0.7665766576657665,0.9351935193519352,0.38000000000000006,0.6100000000000001,0.6100000000000001,0.1699629873037338,0.17748166620731354,1.0,71,
full,mlp_m,F1,L1,C0,F1_L1_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_m_f1_l1_c0_full,0.7503059666902784,0.38061065018556894,0.42866095675788596,0.29301258291519333,0.6501900190019002,0.46924692469246926,0.7677767776777678,0.933093309330933,0.7451492313947866,0.3640727504968941,0.4262977218350151,0.2897698529978303,0.6358235823582358,0.44734473447344736,0.7737773777377738,0.9375937593759376,0.31000000000000005,0.31000000000000005,0.31000000000000005,0.1729177981615066,0.1723187416791916,1.0,68,
full,mlp_s,F1,L1,C0,F1_L1_C0,/Users/atakanemre/PeptidQuantum/outputs/training/ablation_mlx_mlp_s_f1_l1_c0_full,0.754377462948815,0.3696206277742143,0.42899350009848336,0.2946824052893634,0.6498699869986998,0.46564656465646564,0.7797779777977798,0.9378937893789379,0.7457274530333321,0.35373465973665424,0.41741455031506586,0.2788711380250272,0.6382438243824382,0.44794479447944796,0.7836783678367837,0.936993699369937,0.38000000000000006,0.28,0.28,0.1705091595649719,0.17462192475795746,0.9999986886978149,69,
